"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"STX71",1.75292560746969e-08,0.49151072836427,0.284,0.114,0.000240396217808393,"5","STX7"
"SLC25A3",1.84778574146741e-08,0.409903256249431,0.815,0.507,0.00025340533658484,"5","SLC25A3"
"SRI",2.03053908496874e-08,0.426572989024199,0.494,0.253,0.000278468130112613,"5","SRI"
"AOAH",2.21199293630599e-08,0.323195164163793,0.284,0.116,0.000303352711285004,"5","AOAH"
"PSMB4",2.22218496058267e-08,0.272986488042218,0.377,0.168,0.000304750445494308,"5","PSMB4"
"TXN2",2.36655419474825e-08,0.34195051372949,0.34,0.152,0.000324549242267775,"5","TXN2"
"EMC7",2.4247784907526e-08,0.266250232929605,0.37,0.166,0.000332534122221811,"5","EMC7"
"RAB18",2.49540605419919e-08,0.367174352669788,0.278,0.116,0.000342219986272877,"5","RAB18"
"UQCRFS11",2.54169021828816e-08,0.322530161748634,0.543,0.271,0.000348567396536038,"5","UQCRFS1"
"YWHAH",2.69717514940963e-08,0.402838226661496,0.383,0.185,0.000369890599990036,"5","YWHAH"
"UBE2A",2.78175055508872e-08,0.292170479017374,0.278,0.113,0.000381489271124867,"5","UBE2A"
"SFT2D1",3.02773762205511e-08,0.364707623122592,0.315,0.137,0.000415223937488638,"5","SFT2D1"
"MX2",3.27398704165155e-08,0.297585008342746,0.259,0.104,0.000448994582892094,"5","MX2"
"POLR2F",3.72872503316621e-08,0.255247387845784,0.37,0.164,0.000511357351048414,"5","POLR2F"
"COX6A1",3.88756994769985e-08,0.352927972912943,0.747,0.463,0.000533141342627557,"5","COX6A1"
"SSR31",3.94012846561802e-08,0.4426724717849,0.364,0.169,0.000540349217774855,"5","SSR3"
"YWHAE",4.15098200227896e-08,0.407361832171465,0.309,0.132,0.000569265671792536,"5","YWHAE"
"DYNLL11",4.67344146856854e-08,0.290689850924364,0.586,0.324,0.00064091576299949,"5","DYNLL1"
"MRPL18",5.27894821239822e-08,0.557932175602459,0.395,0.182,0.000723954957848292,"5","MRPL18"
"SP1101",5.77399804486386e-08,0.362779662231697,0.537,0.267,0.00079184609187263,"5","SP110"
"ICAM2",6.1671748328027e-08,0.407682628531842,0.457,0.226,0.000845766356570563,"5","ICAM2"
"PPCS",6.56258128811382e-08,0.324180651266354,0.383,0.178,0.000899992397851929,"5","PPCS"
